Label,TagSet,AssetType,Asset,AssetParent,City,Building,Wing,Floor,Room,Zone
421_U15_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_FCU_FAULT,FCU_Fault_Sensor,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U15_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U15,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U15,NA
421_U16_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U16,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U16,NA
421_U16_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U16,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U16,NA
421_U16_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U16,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U16,NA
421_U16_FCU_FAULT,FCU_Fault_Sensor,FCU,U16,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U16,NA
421_U16_HTG_VLV,FCU_Heating_Valve_Percentage_Command,FCU,U16,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U16,NA
421_U16_RAT,FCU_Return_Air_Temperature_Sensor,FCU,U16,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U16,NA
421_U16_TEMP_SPT,FCU_Air_Temperature_Setpoint,FCU,U16,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U16,NA
421_U17_CLG_VLV,FCU_Cooling_Valve_Percentage_Command,FCU,U17,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U17,NA
421_U17_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,U17,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U17,NA
421_U17_FAN_SPD,FCU_Fan_Speed_Sensor_Command,FCU,U17,,Dublin,B3,SOR42,FirstFloor,SOR42_1_U17,NA
