"tag","ANY1","ANY2","CMU GHC","HAY","IBM","SDU","UCB SDH","UCB SODA","UCSD","UVA","TOTAL"
"elecmeter",0,0,0,9,0,0,0,0,0,0,9
"electric",0,42,0,0,449,0,0,0,0,0,491
"electrical",0,1,0,0,0,0,0,0,0,0,1
"electriccharge",0,3,0,0,15,0,0,0,0,0,18
"elevation",0,1,0,0,1,0,1,0,0,0,3
"elevator",0,0,0,0,0,2,0,0,0,0,2
"emergency",0,1,0,0,1,0,1,0,5,0,8
"enable",9,3,0,2,3,0,1,0,22,0,40
"enegy",0,0,7,0,0,0,0,0,0,0,7
"energy",1,4,32,2,0,0,2,2,4,0,47
"engine",0,0,0,0,0,3,0,0,0,0,3
"enter",0,0,0,0,0,0,0,0,0,1,1
"entering",0,23,57,15,0,0,1,1,0,0,97
"enthalpy",0,0,0,0,0,0,0,0,3,0,3
"epo",0,0,0,0,0,0,0,0,3,0,3
"equip",0,0,16,0,0,0,0,0,0,0,16
"evaporator",0,4,0,2,0,0,0,0,0,0,6
"event",0,0,0,0,0,0,5,5,0,0,10
"exchanger",2,0,0,0,0,0,0,0,13,0,15
"exhaust",30,4,77,2,0,0,32,64,10,0,219
"external",0,3,0,0,8,0,6,0,0,0,17
"extract",0,1,0,0,8,0,8,0,0,0,17
"facade",0,1,0,0,3,0,3,0,0,0,7
"facebypass",0,0,0,1,0,0,0,0,0,0,1
"facility",0,0,0,0,0,0,0,0,0,59,59
"factor",0,10,0,0,11,0,6,0,0,0,27
"failure",0,0,0,0,0,0,6,6,0,0,12
"fan",79,44,126,8,193,0,281,161,79,0,971
"fans",1,0,0,0,0,0,0,0,0,0,1
"fault",0,2,0,0,258,0,269,11,18,0,558
"fcu",4,52,65,0,1080,0,1097,0,0,0,2298
"file",0,0,0,0,0,0,0,0,4,0,4
"filter",3,2,0,1,0,0,0,0,13,0,19
"filtered",0,0,0,0,0,0,8,8,0,0,16
"filters",0,0,0,0,0,0,0,0,4,0,4
"final",1,0,0,0,0,0,0,0,0,0,1
"fintube",4,0,0,0,0,0,0,0,0,0,4
"fire",6,0,0,0,0,0,0,0,0,0,6
"flag",0,0,0,0,0,0,14,14,0,0,28
"floor",0,0,0,0,0,0,15,15,22,0,52
"flow",20,46,1762,21,24,0,8,5,21,14,1921
"footfall",0,2,0,0,18,0,16,0,0,0,36
"for",1,0,0,0,0,0,0,0,1,0,2
"freeze",6,2,0,0,0,0,0,0,0,0,8
