Note,Contains haystack tags and custom tags
EBU3B.RM-2122..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2122..COMMONSP,zone air temp sp
EBU3B.RM-2122..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2122..ZN-T,zone air temp sensor
EBU3B.RM-2126..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2126..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2126..CLGPID-O,zone cooling cmd
EBU3B.RM-2126..DPR-C,discharge air damper cmd
EBU3B.RM-2126..DMPR-POS,discharge air damper sensor
EBU3B.RM-2126..HTGPID-O,zone heating cmd
EBU3B.RM-2126..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2126..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2126..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2126..OCC-CMD,zone occupied cmd
EBU3B.RM-2126..RH-VLV,reheat valve cmd
EBU3B.RM-2126..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2126..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2126..COMMONSP,zone air temp sp
EBU3B.RM-2126..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2126..ZN-T,zone air temp sensor
EBU3.RM-2127..ACLG-SP,zone air temp effective min sp
EBU3B.RM-2127..AHTG-SP,zone air temp effective max sp
EBU3B.RM-2127..BOXMODE,vavMode sp
EBU3B.RM-2127..DMPRPOS,discharge air damper sensor
EBU3B.AH-1..DASP-LO IN,discharge air demand sp
EBU3B.RM-2127..HTGPID-O,zone heating cmd
EBU3B.RM-2127..CMAXFLO,discharge air flow max sp
EBU3B.RM-2127..OCMNC-SP,discharge air flow occ cooling min sp
EBU3B.RM-2127..OCCHTGFL,discharge air flow occ heating min sp
EBU3B.RM-2127..OCC-CMD,zone occupied cmd
EBU3B.RM-2127..OCC-S,zone occupied sensor
EBU3B.RM-2127..OCC-STS,zone occupied sensor
EBU3B.RM-2127..RH-VLV,reheat valve cmd
EBU3B.RM-2127..SUPFLOW,discharge air flow sensor
EBU3B.RM-2127..SUPLOSP,discharge air flow sp
EBU3B.RM-2127..COMMONSP,zone air temp sp
EBU3B.RM-2127..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2127..ZN-T,zone air temp sensor
EBU3B.RM-2128..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2128..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2128..CLGPID-O,zone cooling cmd
EBU3B.RM-2128..DPR-C,discharge air damper cmd
EBU3B.RM-2128..DMPR-POS,discharge air damper sensor
EBU3B.RM-2128..HTGPID-O,zone heating cmd
EBU3B.RM-2128..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2128..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2128..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2128..OCC-CMD,zone occupied cmd
EBU3B.RM-2128..RH-VLV,reheat valve cmd
EBU3B.RM-2128..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2128..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2128..COMMONSP,zone air temp sp
EBU3B.RM-2128..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2128..ZN-T,zone air temp sensor
EBU3B.RM-2130..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2130..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2130..CLGPID-O,zone cooling cmd
EBU3B.RM-2130..DPR-C,discharge air damper cmd
EBU3B.RM-2130..DMPR-POS,discharge air damper sensor
EBU3B.RM-2130..HTGPID-O,zone heating cmd
EBU3B.RM-2130..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2130..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2130..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2130..OCC-CMD,zone occupied cmd
EBU3B.RM-2130..RH-VLV,reheat valve cmd
EBU3B.RM-2130..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2130..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2130..COMMONSP,zone air temp sp
EBU3B.RM-2130..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2130..ZN-T,zone air temp sensor
EBU3B.RM-2132..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2132..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2132..CLGPID-O,zone cooling cmd
EBU3B.RM-2132..DPR-C,discharge air damper cmd
EBU3B.RM-2132..DMPR-POS,discharge air damper sensor
EBU3B.RM-2132..HTGPID-O,zone heating cmd
EBU3B.RM-2132..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2132..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2132..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2132..OCC-CMD,zone occupied cmd
EBU3B.RM-2132..RH-VLV,reheat valve cmd
EBU3B.RM-2132..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2132..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2132..COMMONSP,zone air temp sp
EBU3B.RM-2132..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2132..ZN-T,zone air temp sensor
EBU3B.RM-2134..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2134..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2134..CLGPID-O,zone cooling cmd
EBU3B.RM-2134..DPR-C,discharge air damper cmd
EBU3B.RM-2134..DMPR-POS,discharge air damper sensor
EBU3B.RM-2134..HTGPID-O,zone heating cmd
EBU3B.RM-2134..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2134..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2134..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2134..OCC-CMD,zone occupied cmd
EBU3B.RM-2134..RH-VLV,reheat valve cmd
EBU3B.RM-2134..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2134..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2134..COMMONSP,zone air temp sp
EBU3B.RM-2134..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2134..ZN-T,zone air temp sensor
EBU3B.RM-2136..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2136..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2136..CLGPID-O,zone cooling cmd
EBU3B.RM-2136..DPR-C,discharge air damper cmd
EBU3B.RM-2136..DMPR-POS,discharge air damper sensor
EBU3B.RM-2136..HTGPID-O,zone heating cmd
EBU3B.RM-2136..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2136..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2136..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2136..OCC-CMD,zone occupied cmd
EBU3B.RM-2136..RH-VLV,reheat valve cmd
EBU3B.RM-2136..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2136..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2136..COMMONSP,zone air temp sp
EBU3B.RM-2136..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2136..ZN-T,zone air temp sensor
EBU3B.RM-2138..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2138..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2138..CLGPID-O,zone cooling cmd
EBU3B.RM-2138..DPR-C,discharge air damper cmd
EBU3B.RM-2138..DMPR-POS,discharge air damper sensor
EBU3B.RM-2138..HTGPID-O,zone heating cmd
EBU3B.RM-2138..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2138..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2138..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2138..OCC-CMD,zone occupied cmd
EBU3B.RM-2138..RH-VLV,reheat valve cmd
EBU3B.RM-2138..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2138..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2138..COMMONSP,zone air temp sp
EBU3B.RM-2138..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2138..ZN-T,zone air temp sensor
EBU3B.RM-2140..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2140..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2140..CLGPID-O,zone cooling cmd
EBU3B.RM-2140..DPR-C,discharge air damper cmd
EBU3B.RM-2140..DMPR-POS,discharge air damper sensor
EBU3B.RM-2140..FAN-C,discharge air fan cmd
EBU3B.RM-2140..HTGPID-O,zone heating cmd
EBU3B.RM-2140..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2140..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2140..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2140..OCC-CMD,zone occupied cmd
EBU3B.RM-2140..RH-VLV,reheat valve cmd
EBU3B.RM-2140..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2140..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2140..COMMONSP,zone air temp sp
EBU3B.RM-2140..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2140..ZN-T,zone air temp sensor
EBU3B.RM-2142..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2142..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2142..CLGPID-O,zone cooling cmd
EBU3B.RM-2142..DPR-C,discharge air damper cmd
EBU3B.RM-2142..DMPR-POS,discharge air damper sensor
EBU3B.RM-2142..HTGPID-O,zone heating cmd
EBU3B.RM-2142..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2142..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2142..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2142..OCC-CMD,zone occupied cmd
EBU3B.RM-2142..RH-VLV,reheat valve cmd
EBU3B.RM-2142..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2142..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2142..COMMONSP,zone air temp sp
EBU3B.RM-2142..T-OCC,zone thermostat occupied cmd
EBU3B.RM-2142..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2142..ZN-T,zone air temp sensor
EBU3B.RM-2144..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2144..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2144..CLGPID-O,zone cooling cmd
EBU3B.RM-2144..DPR-C,discharge air damper cmd
EBU3B.RM-2144..DMPR-POS,discharge air damper sensor
EBU3B.RM-2144..HTGPID-O,zone heating cmd
EBU3B.RM-2144..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2144..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2144..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2144..OCC-CMD,zone occupied cmd
EBU3B.RM-2144..RH-VLV,reheat valve cmd
EBU3B.RM-2144..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2144..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2144..COMMONSP,zone air temp sp
EBU3B.RM-2144..T-OCC,zone thermostat occupied cmd
EBU3B.RM-2144..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2144..ZN-T,zone air temp sensor
EBU3B.RM-2146..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2146..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2146..CLGPID-O,zone cooling cmd
EBU3B.RM-2146..DPR-C,discharge air damper cmd
EBU3B.RM-2146..DMPR-POS,discharge air damper sensor
EBU3B.RM-2146..HTGPID-O,zone heating cmd
EBU3B.RM-2146..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2146..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2146..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2146..OCC-CMD,zone occupied cmd
EBU3B.RM-2146..RH-VLV,reheat valve cmd
EBU3B.RM-2146..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2146..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2146..COMMONSP,zone air temp sp
EBU3B.RM-2146..T-OCC,zone thermostat occupied cmd
EBU3B.RM-2146..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2146..ZN-T,zone air temp sensor
EBU3B.RM-2148..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2148..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2148..CLGPID-O,zone cooling cmd
EBU3B.RM-2148..DPR-C,discharge air damper cmd
EBU3B.RM-2148..DMPR-POS,discharge air damper sensor
EBU3B.RM-2148..HTGPID-O,zone heating cmd
EBU3B.RM-2148..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2148..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2148..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2148..OCC-CMD,zone occupied cmd
EBU3B.RM-2148..RH-VLV,reheat valve cmd
EBU3B.RM-2148..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2148..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2148..COMMONSP,zone air temp sp
EBU3B.RM-2148..T-OCC,zone thermostat occupied cmd
EBU3B.RM-2148..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2148..ZN-T,zone air temp sensor
EBU3B.RM-2150..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2150..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2150..CLGPID-O,zone cooling cmd
EBU3B.RM-2150..DPR-C,discharge air damper cmd
EBU3B.RM-2150..DMPR-POS,discharge air damper sensor
EBU3B.RM-2150..HTGPID-O,zone heating cmd
EBU3B.RM-2150..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2150..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2150..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2150..OCC-CMD,zone occupied cmd
EBU3B.RM-2150..RH-VLV,reheat valve cmd
EBU3B.RM-2150..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2150..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2150..COMMONSP,zone air temp sp
EBU3B.RM-2150..T-OCC,zone thermostat occupied cmd
EBU3B.RM-2150..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2150..ZN-T,zone air temp sensor
EBU3B.RM-2154..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2154..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2154..CLGPID-O,zone cooling cmd
EBU3B.RM-2154..DPR-C,discharge air damper cmd
EBU3B.RM-2154..DMPR-POS,discharge air damper sensor
EBU3B.RM-2154..HTGPID-O,zone heating cmd
EBU3B.RM-2154..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2154..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2154..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2154..OCC-CMD,zone occupied cmd
EBU3B.RM-2154..RH-VLV,reheat valve cmd
EBU3B.RM-2154..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2154..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2154..COMMONSP,zone air temp sp
EBU3B.RM-2154..T-OCC,zone thermostat occupied cmd
EBU3B.RM-2154..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2154..ZN-T,zone air temp sensor
EBU3B.RM-2200A..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2200A..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2200A..CLGPID-O,zone cooling cmd
EBU3B.RM-2200A..DPR-C,discharge air damper cmd
EBU3B.RM-2200A..DMPR-POS,discharge air damper sensor
EBU3B.RM-2200A..HTGPID-O,zone heating cmd
EBU3B.RM-2200A..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2200A..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2200A..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2200A..OCC-CMD,zone occupied cmd
EBU3B.RM-2200A..RH-VLV,reheat valve cmd
EBU3B.RM-2200A..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2200A..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2200A..COMMONSP,zone air temp sp
EBU3B.RM-2200A..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2200A..ZN-T,zone air temp sensor
EBU3B.RM-2203..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2203..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2203..CLGPID-O,zone cooling cmd
EBU3B.RM-2203..DPR-C,discharge air damper cmd
EBU3B.RM-2203..DMPR-POS,discharge air damper sensor
EBU3B.RM-2203..HTGPID-O,zone heating cmd
EBU3B.RM-2203..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2203..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2203..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2203..OCC-CMD,zone occupied cmd
EBU3B.RM-2203..RH-VLV,reheat valve cmd
EBU3B.RM-2203..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2203..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2203..COMMONSP,zone air temp sp
EBU3B.RM-2203..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2203..ZN-T,zone air temp sensor
EBU3B.RM-2207..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2207..CLGPID-O,zone cooling cmd
EBU3B.RM-2207..DPR-C,discharge air damper cmd
EBU3B.RM-2207..DMPR-POS,discharge air damper sensor
EBU3B.RM-2207..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2207..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2207..OCC-CMD,zone occupied cmd
EBU3B.RM-2207..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2207..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2207..COMMONSP,zone air temp sp
EBU3B.RM-2207..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2207..ZN-T,zone air temp sensor
EBU3B.RM-2208..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2208..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2208..CLGPID-O,zone cooling cmd
EBU3B.RM-2208..DPR-C,discharge air damper cmd
EBU3B.RM-2208..DMPR-POS,discharge air damper sensor
EBU3B.RM-2208..HTGPID-O,zone heating cmd
EBU3B.RM-2208..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2208..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2208..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2208..OCC-CMD,zone occupied cmd
EBU3B.RM-2208..RH-VLV,reheat valve cmd
EBU3B.RM-2208..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2208..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2208..COMMONSP,zone air temp sp
EBU3B.RM-2208..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2208..ZN-T,zone air temp sensor
EBU3B.RM-2209..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2209..CLGPID-O,zone cooling cmd
EBU3B.RM-2209..DPR-C,discharge air damper cmd
EBU3B.RM-2209..DMPR-POS,discharge air damper sensor
EBU3B.RM-2209..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2209..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2209..OCC-CMD,zone occupied cmd
EBU3B.RM-2209..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2209..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2209..COMMONSP,zone air temp sp
EBU3B.RM-2209..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2209..ZN-T,zone air temp sensor
EBU3B.RM-2214..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2214..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2214..CLGPID-O,zone cooling cmd
EBU3B.RM-2214..DPR-C,discharge air damper cmd
EBU3B.RM-2214..DMPR-POS,discharge air damper sensor
EBU3B.RM-2214..HTGPID-O,zone heating cmd
EBU3B.RM-2214..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2214..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2214..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2214..OCC-CMD,zone occupied cmd
EBU3B.RM-2214..RH-VLV,reheat valve cmd
EBU3B.RM-2214..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2214..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2214..COMMONSP,zone air temp sp
EBU3B.RM-2214..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2214..ZN-T,zone air temp sensor
EBU3B.RM-2215..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2215..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2215..CLGPID-O,zone cooling cmd
EBU3B.RM-2215..DPR-C,discharge air damper cmd
EBU3B.RM-2215..DMPR-POS,discharge air damper sensor
EBU3B.RM-2215..HTGPID-O,zone heating cmd
EBU3B.RM-2215..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2215..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2215..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2215..OCC-CMD,zone occupied cmd
EBU3B.RM-2215..RH-VLV,reheat valve cmd
EBU3B.RM-2215..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2215..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2215..COMMONSP,zone air temp sp
EBU3B.RM-2215..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2215..ZN-T,zone air temp sensor
EBU3B.RM-2217..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2217..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2217..CLGPID-O,zone cooling cmd
EBU3B.RM-2217..DPR-C,discharge air damper cmd
EBU3B.RM-2217..DMPR-POS,discharge air damper sensor
EBU3B.RM-2217..HTGPID-O,zone heating cmd
EBU3B.RM-2217..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2217..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2217..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2217..OCC-CMD,zone occupied cmd
EBU3B.RM-2217..RH-VLV,reheat valve cmd
EBU3B.RM-2217..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2217..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2217..COMMONSP,zone air temp sp
EBU3B.RM-2217..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2217..ZN-T,zone air temp sensor
EBU3B.RM-2218..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2218..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2218..CLGPID-O,zone cooling cmd
EBU3B.RM-2218..DPR-C,discharge air damper cmd
EBU3B.RM-2218..DMPR-POS,discharge air damper sensor
EBU3B.RM-2218..HTGPID-O,zone heating cmd
EBU3B.RM-2218..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2218..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2218..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2218..OCC-CMD,zone occupied cmd
EBU3B.RM-2218..RH-VLV,reheat valve cmd
EBU3B.RM-2218..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2218..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2218..COMMONSP,zone air temp sp
EBU3B.RM-2218..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2218..ZN-T,zone air temp sensor
EBU3B.RM-2219..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2219..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2219..CLGPID-O,zone cooling cmd
EBU3B.RM-2219..DPR-C,discharge air damper cmd
EBU3B.RM-2219..DMPR-POS,discharge air damper sensor
EBU3B.RM-2219..HTGPID-O,zone heating cmd
EBU3B.RM-2219..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2219..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2219..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2219..OCC-CMD,zone occupied cmd
EBU3B.RM-2219..RH-VLV,reheat valve cmd
EBU3B.RM-2219..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2219..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2219..COMMONSP,zone air temp sp
EBU3B.RM-2219..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2219..ZN-T,zone air temp sensor
EBU3B.RM-2221..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2221..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2221..CLGPID-O,zone cooling cmd
EBU3B.RM-2221..DPR-C,discharge air damper cmd
EBU3B.RM-2221..DMPR-POS,discharge air damper sensor
EBU3B.RM-2221..HTGPID-O,zone heating cmd
EBU3B.RM-2221..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2221..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2221..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2221..OCC-CMD,zone occupied cmd
EBU3B.RM-2221..RH-VLV,reheat valve cmd
EBU3B.RM-2221..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2221..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2221..COMMONSP,zone air temp sp
EBU3B.RM-2221..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2221..ZN-T,zone air temp sensor
EBU3B.RM-2226..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2226..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2226..CLGPID-O,zone cooling cmd
EBU3B.RM-2226..DPR-C,discharge air damper cmd
EBU3B.RM-2226..DMPR-POS,discharge air damper sensor
EBU3B.RM-2226..HTGPID-O,zone heating cmd
EBU3B.RM-2226..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2226..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2226..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2226..OCC-CMD,zone occupied cmd
EBU3B.RM-2226..RH-VLV,reheat valve cmd
EBU3B.RM-2226..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2226..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2226..COMMONSP,zone air temp sp
EBU3B.RM-2226..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2226..ZN-T,zone air temp sensor
EBU3B.RM-2227..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2227..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2227..CLGPID-O,zone cooling cmd
EBU3B.RM-2227..DPR-C,discharge air damper cmd
EBU3B.RM-2227..DMPR-POS,discharge air damper sensor
EBU3B.RM-2227..HTGPID-O,zone heating cmd
EBU3B.RM-2227..CLGMAXFLO,discharge air flow max sp
EBU3B.RM-2227..CLGMiNFLO,discharge air flow occ cooling min sp
EBU3B.RM-2227..HTGFLOW,discharge air flow occ heating min sp
EBU3B.RM-2227..OCC-CMD,zone occupied cmd
EBU3B.RM-2227..RH-VLV,reheat valve cmd
EBU3B.RM-2227..SUP-FLOW,discharge air flow sensor
EBU3B.RM-2227..SUPFLO-SP,discharge air flow sp
EBU3B.RM-2227..COMMONSP,zone air temp sp
EBU3B.RM-2227..W-C-ADJ,zone thermostat temp adjust sp
EBU3B.RM-2227..ZN-T,zone air temp sensor
EBU3B.RM-2229A..ACTCLGSP,zone air temp effective min sp
EBU3B.RM-2229A..ACTHTGSP,zone air temp effective max sp
EBU3B.RM-2229A..CLGPID-O,zone cooling cmd
