Domain,TagSet,Definition,hasSynonym,hasUnit,hasAbbreviation,Highest Superclass,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupied Cooling Max Discharge Air Flow,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupied Heating Max Discharge Air Flow,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupied Heating Min Discharge Air Flow,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupied Cooling Min Discharge Air Flow,,Occupied Cooling Min Supply Air Flow,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Cooling Min Discharge Air Flow,,Cooling Min Supply Air Flow,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupied Heating Discharge Air Flow Setpoint,,Occupied Heating Supply Air Flow,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupied Cooling Discharge Air Flow Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Unoccupied Cooling Discharge Air Flow Setpoint,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Variable Air Volume Box,,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Heating Discharge Air Flow Setpoint,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,VAV Box Mode,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Heating Command,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Cooling Command,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupancy Command,,Occupied Command,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Occupancy Sensor,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Damper Command,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Damper Position,,,,,Measurement Property,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Damper Position Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Booster Fan,,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Booster Fan Start Stop Command,,Booster Fan Command,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Booster Fan Air Flow,,Booster Fan Air Flow Sensor,,,Measurement Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,CO2 Sensor,,CO2 Level,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Discharge Air Velocity Pressure,,Supply Air Velocity Pressure,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Discharge Air Velocity Pressure Sensor,,,,,Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAV Subdomain,Schedule,,,,,,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fume Hood Subdomain,Fume Hood Air Flow Sensor,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fume Hood Subdomain,Emergency Air Flow Status,Binary value indicating if emergency air flow is on/off,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fume Hood Subdomain,Emergency Push Button Status,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fume Hood Subdomain,Fume Hood Alarm,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fume Hood Subdomain,Fume Hood Sash Position,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Cold Box,A room maintained at cold temperature for storing specimens and chemicals,,,,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Environment Box,Special temperature room for labs,,,,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Hot Box,Room maintained at high temperature for labs,,,,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Freezer,Freezer rooms,,,,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Cold Box Temperature,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Hot Box Temperature,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Freezer Temperature,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Lab Environments Subdomain,Environment Box Temperature,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Change Filter Alarm,Alarm to change dirty filter,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Pre Filter Status,Pre-filter filters large particles. Point indicates the if filter is dirty,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Filter Status,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Filter Differential Pressure,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Preheat Hot Water Valve,,,,,Equipment,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Air Preheat Valve Command,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Preheat VFD,,,,,Equipment,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Preheat Supply Air Temperature,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
