Domain,TagSet,Definition,hasSynonym,hasUnit,hasAbbreviation,Highest Superclass,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Static Pressure Max Setpoint,Max Static Pressure in the supply duct (per Design),,,,Point,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Static Pressure Min Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Temperature,@ inlet of the AHU,,,,Measurement Property,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Temperature Sensor,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Lockout Temperature Setpoint,Temperature at which chiller stops cooling because outside air is too cold already,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Lockout Temperature Differential,Difference between measured temperature and lockout setpoint,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Low Outside Air Temperature Enable Setpoint,"Temperature at which outside air is ""Low""",,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Low Outside Air Temperature Enable Differential,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Temperature High Reset Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Outside Air Temperature Low Reset Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Mixed Air Temperature Setpoint,,,,,Point,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Occupied Mode,virtual point used for controls,,,,Point,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Unoccupied Mode,virtual point used for controls,,,,Point,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,DualBand Mode,virtual point used for controls,,,,Point,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Economizer Mode,virtual point used for controls,Economizer Status,,,Point,,,Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Economizer Damper Command,,,,,Point,,,Jason,,,"(Maybe synonymous to Economizer Mode?, Jason)",,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Economizer Outside Air Flow Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Fan,,,,,Equipment,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Fan Start Stop Command,,Return Fan Command,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Supply Fan Start Stop Command,,Supply Fan Command,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Fan Differential Speed from Supply Fan,,Return Fan Differential Speed,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,VFD Voltage,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Supply Fan Start Stop Status,,supply fan status,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Fan Start Stop Status,,return fan status,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Supply Fan Piezoelectric,,Supply Fan Piezoelectric Sensor,,,Measurement Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Supply Fan Air Flow,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Return Fan Air Flow,Air flow measurements specific to a fan,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,,,,,,,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,AHU auto cooling setpoint,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,AHU current cooling setpoint,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Zone Temperature High,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Zone Temperature Low,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heat Wheel Voltage,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heat Wheel Speed,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heat Wheel VFD,,,,,Equipment,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heat Wheel Differential Pressure,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Heat Wheel Supply Air Temperature,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Highest Floor Demand,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Condensate Leak Alarm,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHU Subdomain,Air Flow Estimation,,Air Flow Calculation,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Output Frequency,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Frequency Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Max Frequency Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Output Voltage,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Current Limit,Setpoint for max current consumed by VFD,,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Last Fault Code,TBD,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Fault Reset,Command to reset fault status after fixed by operator,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Fault Indicator,,Fault Status,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Filter Reset,Command to reset the filter status,,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Panel Lockout Command,,,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Rated Speed,Maximum speed specified by manufacturer,,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Speed Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Motor Speed,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Run Direction Command,Command to change VFD direction,Motor Direction Command,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Run Direction Status,Status of VFD direction. Synonym,Motor Direction Status,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Run Enable,A command that allows VFD to be used,"VFD Run Enable,Run Enable Command",,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Run Enable Status,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,System Enable,A group of VFDs being enabled or disabled,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Energy,,,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Motor Torque,Measured torque,,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,DC Bus Voltage,Voltage measured on the communication/control lines,,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Acceleration Time Setpoint,Setpoint for acceleration,,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Deceleration Time Setpoint,Setpoint for deceleration,,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Manual Auto Status,Indicates if it is in manual or auto mode.,Hand Auto Status,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Drive Temperature,Measures VFD temperature,,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,VFD Start Stop Command,Command to turn on/off VFD,Motor Start Stop Command,,,Point,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,VFD Start Stop Status,,Motor Start Stop Status,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,,,Run Status,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Drive Ready Status,TBD,,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Motor Current,Measured current,Load Current,,,Measurement Property,O,X,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Motor Power,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Cooling Valve Command,Can also be part of CRAC,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Maintenance Mode,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Maintenance Required Alarm,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,VFD Alarm,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,Run Time,,Running Hours,,,Measurement Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,VFD Run Status,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFD Subdomain,VFD Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water,,,,,Resource,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Start Stop Command,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump,,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Min Chilled Water Differential Pressure Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Max Chilled Water Differential Pressure Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Differential Pressure,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Differential Pressure Sensor,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Differential Pressure Setpoint,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Differential Pressure Integral Time,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Differential Pressure Dead Band,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Differential Pressure Proportional Band,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Differential Pressure Increase Decrease Step,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Return Temperature,,,,,Measurement Property,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water System Enable Command,,,,,Point,O,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,,,,,,,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Cooling Coil,Equipment to cool air using cold water,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Freeze Status,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Cooling Tower,,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Cooling Tower Fan,,,,,Equipment,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Cooling Tower Fan Speed Setpoint,,,,,Point,O,X,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pressure Setpoint,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Discharge Temperature,,Chilled Water Supply Temperature,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Temperature Differential,Difference between supply and return temperature,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Supply Flow,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Bypass Valve Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Water Discharge Temperature,,Water Supply Temperature,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water,,,,,Resource,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Pump Start Stop Command,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Pump Start Stop Command,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Pump,,Heat Exchanger Pump,,,Equipment,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Static Pressure Setpoint,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Differential Pressure,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Differential Pressure Setpoint,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Differential Pressure Integral Time,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Differential Pressure Proportional Band,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Differential Pressure Dead Band,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water System Enable Command,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Return Temperature,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Discharge Temperature,,Hot Water Supply Temperature,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,High Temperature Hot Water Return Temperature,,,,,Measurement Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,High Temperature Hot Water Supply Temperature,,,,,Measurement Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Medium Temperature Hot Water,,,,,Resource,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Medium Temperature Water Pressure,,,,,Measurement Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Medium Temperature Hot Water Return Temperature,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Medium Temperature Hot Water Supply Temperature,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Medium Temperature Hot Water Discharge Temperature High Reset Setpoint,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Medium Temperature Hot Water Discharge Temperature Low Reset Setpoint,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Domestic Hot Water,,,,,Resource,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Domestic Hot Water Valve Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Domestic Hot Water Supply Temperature,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Domestic Hot Water System,,,,,Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Domestic Hot Water System Enable,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Domestic Hot Water Supply Temperature Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Domestic Hot Water System Start Stop Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger Supply Water Temperature Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger Supply Water Temperature,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger Supply Water Temperature Proportional Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger Supply Water Temperature Integral Time,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger Supply Water Temperature Dead Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger Valve Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger Valve Status,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Heat Exchanger System Enable,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Supply Water Temperature Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Shutdown Hot Water When Unoccupied,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Enable Hot Water System Outside Air Temperature Setpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Disable Hot Water System Outside Air Temperature Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Alarm Delay,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Open Heating Valve Outside Air Temperature Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Pump Enable Status,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Command,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Enable,Allows the pump to be used. It is a sensor.,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Status,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Differential Pressure Dead Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Differential Pressure Proportional Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Differential Pressure Integration Time,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Pump Status,,Pump Start Stop Status,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Pump Alarm,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Pump Alarm Delay,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Pump Alarm,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Alarm Delay,,,,,Point,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Lead Lag,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Chilled Water Pump Lead Lag Command,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Pump Lead Lag Command,,Pump Lead On Off,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Hot Water Pump Lead Lag Command,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Valve Command,,,,,Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Perimeter Heating Valve Command,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Deionised Water,Very pure water. Used in research labs,DI Water,,,Resource,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Deionised Water Alarm,,DI Water Alarm,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Deionised Water Level Sensor,,DI Water Level Sensor,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water System Subdomain,Deionised Water Conductivity,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Static Pressure Dead Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Static Pressure Proportional Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Static Pressure Integral Time,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Static Pressure Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Static Pressure Sensor,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Average Exhaust Air Static Pressure,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Lowest Exhaust Air Static Pressure,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Temperature,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Flow,,,,,Measurement Property,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Velocity Pressure,,,,,Measurement Property,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan,,,,,Equipment,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan Air Flow Setpoint,,,,,Point,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan Start Stop Command,,Exhaust Fan Command,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan Status,,Exhaust Fan Start Stop Status,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan System Enable,Enable switch for a collection of exhaust fans,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan Enable,Enable switch for one particular exhaust fan,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan Disable,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Fan Piezoelectric,,,,,Measurement Property,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Building Exhaust Fans Stage Command,Exhaust fans are typically arranged so that they can be fired in stages as per requirement. This command controls which stage is switched on,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Bypass Damper Command,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Stack Flow Setpoint,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust System Subdomain,Exhaust Air Stack Flow Dead Band,,,,,Point,,,Bharath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
